,Index,Index_Count,Part-I,Part-I_Count,Part-2,Part-2_Count,Part-3,Part-3_Count,Part-IV-A-1,Part-IV-A-1_Count,Part-IV-A-2,Part-IV-A-2_Count,Part-IV-A-3,Part-IV-A-3_Count,Part-IV-A-4,Part-IV-A-4_Count,Part-IV-A-5,Part-IV-A-5_Count,Part-IV-B-1,Part-IV-B-1_Count,Part-IV-B-2,Part-IV-B-2_Count,Part-IV-B-3,Part-IV-B-3_Count,Part-IV-B-4,Part-IV-B-4_Count,Part-IV-B-5,Part-IV-B-5_Count,Part-IV-C-1,Part-IV-C-1_Count,Part-IV-C-2a,Part-IV-C-2a_Count,Part-IV-C-2b,Part-IV-C-2b_Count,Part-IV-C-2c,Part-IV-C-2c_Count,Part-IV-C-3,Part-IV-C-3_Count,Part-IV-C-4,Part-IV-C-4_Count,Part-IV-C-5,Part-IV-C-5_Count,Part-IV-C-6a,Part-IV-C-6a_Count,Part-IV-C-6b,Part-IV-C-6b_Count,Part-IV-C-6c,Part-IV-C-6c_Count,Part-IV-C-7a,Part-IV-C-7a_Count,Part-IV-C-7b,Part-IV-C-7b_Count,Part-IV-C-8,Part-IV-C-8_Count,Part-IV-C-9a,Part-IV-C-9a_Count,Part-IV-C-9b,Part-IV-C-9b_Count,Part-V-A-Vol-IA,Part-V-A-Vol-IA_Count,Part-V-A-Vol-IB,Part-V-A-Vol-IB_Count,Part-V-A-Vol-IC,Part-V-A-Vol-IC_Count,Part-V-A-Vol-IID,Part-V-A-Vol-IID_Count,Part-V-B-1,Part-V-B-1_Count,Part-V-B-2a,Part-V-B-2a_Count,Part-V-B-2b,Part-V-B-2b_Count,Part-V-B-3a,Part-V-B-3a_Count,Part-V-B-3b,Part-V-B-3b_Count,Part-V-B-3c,Part-V-B-3c_Count,Part-V-B-3d,Part-V-B-3d_Count,Part-V-B-4-Book-I,Part-V-B-4-Book-I_Count,Part-V-B-4-Book-II,Part-V-B-4-Book-II_Count,Part-VI-A,Part-VI-A_Count,Part-VI-B,Part-VI-B_Count,Part-VI-C-1,Part-VI-C-1_Count,Part-VI-C-2,Part-VI-C-2_Count,Part-VI-C-3,Part-VI-C-3_Count,Part-VI-C-4,Part-VI-C-4_Count
10,GELB,1.0,Control Sect,1.0,Administration,1.0,A. U.S. MILITARY PLANNING AND DIPLOMATIC,1.0,Article IV,1.0,Department of State Circular,1.0,B. Consider,1.0,A VIETNAMESE NATIONAL ARMY WOULD BE ESTABLISHED,1.0,6To,1.0,AprilMay,1.0,B. Concurrent GVN Activity,2.0,ARVN Divisions,1.0,AsstSecDef,1.0,Agency,2.0,Army,14.0,B. Different Approaches,1.0,Air Force Day,1.0,Altcmative Forms of Negotiations and Related Supporting Political ActionsAlternative,1.0,American Ambassadors,1.0,CHRONOLOGY,1.0,Airborne Brigade,7.0,A. VIETNAMESE ARMED FORCES ARE ASSUMED,1.0,AJ,1.0,Air Reserve Forces,1.0,Air Marshal Ky,1.0,AmEmbassy,1.0,Agriculture,3.0,Armed Forces,2.0,ARV,3.0,Indochina Resolution Adopted,1.0,Communi,1.0,C-l1 10,1.0,Armed Forces,1.0,Ambassadors,1.0,ANO,1.0,AMERS,1.0,Administration,1.0,AFPC,2,AGREED,1.0,AII,1.0,AC,3.0,Airforce,1.0,America Convention,1.0,AMONG,1.0,Afro-Asian Force,1.0,Amembassy Tokyo,1.0,Amembassy Buenos Aires,1.0,AFP,6.0
11,GVN,1.0,DASD(Policy Planning and Arms Control,1.0,Admiral Radfords,1.0,A. U.S. Military Planning,1.0,Article Iw,1.0,Department of State Incoming Message,1.0,B. Initial,2.0,A-7 041654,1.0,73-,1.0,Army,14.0,B. The Program Dies With the Ngos,1.0,ARVNRFPF,1.0,C-123 SQUADRON TELECOMMUNICATIONS,1.0,Air Force,4.0,Army Corps,1.0,B. Origins and Development Presidential Support,1.0,Air Forex.t,1.0,Antecedents In Administration,1.0,American Society of International Law,1.0,CIA,9.0,Airborne Division,1.0,ABM,2.0,AMD,1.0,Alain Enthoven,1.0,Air Staff,1.0,Ambassadors,1.0,"Agriculture, Education,",1.0,Armed Forces Council,2.0,ARVL,1.0,Kremlin,4.0,Conference,3.0,Commission,2.0,AsiaSouth,1.0,American Air,1.0,AP,3.0,ANALYSIS,1.0,Aeeertttngly NcVcrthelcss,1.0,AI,1,AI,1.0,AIR FORCE JUL 1G 1956,1.0,ADMINISTRATIVELY,2.0,Amb Noltings,1.0,Asahi Evening News,1.0,ANO,8.0,Aide Memoire,2.0,Amembassy Warsaw,14.0,Amembassy London & Moscow,1.0,ANDPF,3.0
12,House,1.0,GELB,1.0,Air Force,1.0,ANZUS,1.0,Article TV,1.0,Department of State Incoming Telegram,2.0,Ba Cut,2.0,ABOLISHED,1.0,7Geneva Conference,1.0,Army Forces,1.0,B. U.S. Political Leadership,1.0,ARyN,1.0,CHRONOLOGY,1.0,American Governments,2.0,BARREL ROLL,1.0,BNE,1.0,Army,2.0,Armed,1.0,Annex,1.0,CINCPAC,2.0,Allied,8.0,AHO A CIVILIAN PIASTER BUDGET OF,1.0,ARL,2.0,Ambassadors,1.0,Air Strikes Against North Vietnam,1.0,American Embassy,1.0,Allied,3.0,Army,15.0,ARVN Divisions,1.0,NATO,3.0,Congress,17.0,Communi,2.0,Asiaand,1.0,Anglo-American,1.0,ARV,1.0,ANALYSIS I. COIfSEDUENCES TO THE UNITED STATES,1.0,Agoncios,1.0,AIthough General Navarre,1,AID TO FRANCE RE,1.0,AKO,1.0,AEFii,1.0,"Amb, Galbraith",1.0,Assembly,1.0,ANO PRIMS MiNZSTER,1.0,Aide-Memoire,8.0,Anger,1.0,Amembassy Moscow & Buenos Aires,2.0,ATTACHMENT,1.0
13,Military Pressures Against NVN,1.0,GVN,1.0,Aldrich,1.0,Accords,32.0,Background Information Relating,1.0,"Department of State, Office of Far Eastern Affairs",1.0,Bao Dai,1.0,AC,1.0,86th Congress,3.0,Assist,1.0,B. U.S. Political Leadership The U.S.,1.0,Accelerated Basis,1.0,CIA,7.0,American assis-tance.to,2.0,Big Minh,2.0,Baltimore Sun Report,1.0,Attack Squadron 52,1.0,Armed Forces,1.0,Annex A,1.0,COMUSMACV,8.0,Ambassadors,1.0,AMD,5.0,ARVNGVN,1.0,American Military,1.0,Alain Enthoven,1.0,Army,3.0,Alternative Three Assign,1.0,Assembly,2.0,ARVil,1.0,North Atlantic Council,1.0,Copley Press,1.0,Communist Chinas,1.0,Asianleaders,1.0,Annamite,1.0,AUST,3.0,ANNEX,7.0,Aid Program,1.0,ALDRICH AND JOEINSONtrue,1,AIR FORCE,1.0,ALKRNAT,1.0,AHVN,1.0,American Government's,1.0,BODNARAS,1.0,ANO REFERRED VO 0 M T,1.0,AmEmbassy OTTAWA 826,1.0,Assembly,1.0,Amembassy Moscow & Saigon,1.0,ATTACHMENT END QUOTE,1.0
14,NATO,1.0,House,1.0,American Embassy,4.0,Administration,5.0,Background Information Relating to,1.0,Diem The Eisenhower Commitments,1.0,Bedell Smiths,1.0,ADM,1.0,9 Party,1.0,BAGU5,1.0,BETTER PICTUHE OF COUTPOL OF OF RURAL,1.0,Accords,3.0,CINCPAC,3.0,Archbishop,1.0,Binh,1.0,Board,1.0,Authority,1.0,Army,4.0,Archbishop,1.0,Course of Action B,1.0,Annex,3.0,AMERICAN SOLDIERS LIFE,1.0,ASAP,1.0,Annamite,1.0,Amb,2.0,B. INTENSIFIED BOMBING OF HANOI HAIPHONG AREA,1.0,Ambassa.dor Lodge,1.0,Atomic,1.0,ATD,1.0,PUBLIC A. Truman Administration,1.0,Czarist,1.0,Communist Party,1.0,Asiatic,1.0,Annex Washington-,1.0,Abbott American Consul Genml,1.0,ASIA,1.0,Air,1.0,AMD,3,ALREADY APPLIED MAXIMUM PRESSURES TO DIEM,1.0,AMD,1.0,AI EXTERNAL,1.0,American Military and Economic Aid,1.0,BREZHNEV,1.0,ANO WAS CO,1.0,AmEmbassy OTTAWA 857,1.0,B. State,2.0,American Forces of the,1.0,ATTACHMENT QUOTE,1.0
15,OSD,3.0,Military Pressures Against NVN,1.0,American Foreign Relations 1953,1.0,Aldrich,1.0,"Burma, Ceylon,",1.0,ECA,1.0,Binh Xuyen,4.0,ADMINISTRATIVE,1.0,A. FY Economic Obligations 55-61 1543-6,1.0,Black,1.0,Ben Cat Project,1.0,Additional Support RVN (S,1.0,CINCPAC Headquarters,1.0,Archbishop Thuc,4.0,Bombing,1.0,C. Planning Overt Actions,1.0,Baltimore Sun,2.0,Associated Press,1.0,Archbishop Binh,1.0,DMZ,2.0,Appr,5.0,ANO,1.0,ASD,2.0,Armed Forces,1.0,Appro,1.0,B. Improve,1.0,Ambassadors Lodge,1.0,B. The Officers Corps,1.0,Administration,1.0,Radio Report,1.0,Department Press Officer,1.0,Congress,4.0,Assembly,1.0,Army,8.0,Ac,2.0,ATTN,1.0,Air Force,5.0,AMD AIR FORCES,1,AMB,1.0,"AND REGULAR ARMY FORCES, NUMBERING THREE BATTALIONS PARACHUTISTS",1.0,AIR ACTIONS,1.0,AmhasSador Ledge,1.0,BROCKWAY,2.0,ANZUS,1.0,Amembassy,4.0,B. Stated,1.0,Answer The United States,1.0,Accordins Belfrage,1.0
16,Obligations of State,1.0,NATO,1.0,American Legion St. Louis,1.0,Allied,1.0,China Aid Program,1.0,ERP,1.0,Binh Xuyen Police,1.0,ADMIRAL ARTHUR RADFORD,1.0,AID,1.0,Black's,1.0,Briefing Paper,1.0,Administration,1.0,CINCPACMACV,1.0,Army,28.0,CAS,14.0,"C. Rejection of Scenario ""Use Force",1.0,Bureau of Intelligence and Research memorandum,1.0,B. Initia,1.0,Armed Route Reconnaissance of Route 7,1.0,DRV,13.0,Apr Embtel 3419 &,1.0,ANO MILITARY PROGRAMS ARE CUT,1.0,ASDISA,1.0,Armed Services Committee,1.0,Armed Services and Appropriations,1.0,B. More Targets 1,1.0,Armed Forces,1.0,BOQ,2.0,Advisory Council,1.0,State,2.0,Department of State Bulletin,10.0,Congressional Record,2.0,BerlinD-130-,1.0,Array,1.0,Accords,1.0,Acheson-Matthews,1.0,Air Logistics,1.0,ANNEX,1,AMD,9.0,ANY EVENT VC EXPLOITATION,1.0,AIWN-US Mobile Training Teams,1.0,Army,22.0,BeIgrade,1.0,AP,2.0,Amembassy OTTAWA,1.0,B. The,1.0,B. Clarification U.S.,1.0,Accords,3.0
17,ROLLING THUNDER Program Begins,1.0,OSD,3.0,American Leverage,2.0,American Administration,1.0,Command Relations,1.0,East Indies,1.0,C. Tentative U.S. Involvement Becomes Deeper,1.0,ADMIRAL RADFORD,1.0,ARPA Contract,1.0,Brigadier General E.G. Lansdale,1.0,Bureau of Intelligence and Research,4.0,Advisory Logistics Teams (,1.0,COMUSMACV,15.0,Assembly,2.0,CAS Group Findings,1.0,CAS,1.0,CAP,3.0,BARREL R LL,1.0,Army,6.0,DRVCPR,1.0,Army,31.0,AP P,1.0,Accords,1.0,Army,20.0,Army,3.0,Background Information Relating to,1.0,Army,10.0,Barrel Roll,1.0,AmEmb Saigon 4607,1.0,State Statement on Extension of Military and Economic Aid,1.0,Department'of State Bulletin,1.0,Democratic Party Dinner,1.0,Cambodiato,1.0,Ballantine,1.0,Acheron,1.0,Administration,1.0,Air Transport,1.0,ANZUS,3,AMD AGREED,1.0,ANY OPPOSITION PARTY,1.0,ALLEGED,1.0,Army Corps II,1.0,Blitz,1.0,APPLTCABLK,1.0,Amembassy TOKYO,1.0,B. Warsaw 1422,1.0,B. Moscow,1.0,Acting FonMin Macovescu,1.0
18,Rm3A948 DEPARTMENT JUL 1 5,1.0,Obligations of State,1.0,American Leverage IThe United States,1.0,American ConsulGeneva (Smith,1.0,Committee,1.0,European Recovery Program,1.0,CHRONOLOGY,1.0,ADMIRAL RADFORD BRIEFED,2.0,ASDISA,1.0,C. Improvement of Army,1.0,Bureau of Intelligence and Research Research Memorandum,1.0,Air Force,1.0,COMUSMACVJoint Staff,1.0,Avgust,1.0,CAS Group's,1.0,CFU,2.0,CAPT,1.0,BARRELL ROLL,1.0,B. Interdiction,1.0,DRVVC,1.0,Army Airmobile Division,3.0,ARVN & U.S. OPERATIOIAL,1.0,Added Forces,1.0,Army Aviation,1.0,Army Supply Depot,1.0,Bombing,3.0,B.,1.0,Binh Dinh Province,1.0,Army,5.0,The Eisenhower Administration,1.0,Dien-Bien-Phu,1.0,Department of 04,1.0,Chamber of Commerce,1.0,BrazzaVille,1.0,Acheson-Matthews,1.0,Air,1.0,"Aldrich, Dillon",1.0,ANagl,1,ANNOUNCE COMPLETE PROGRAM OF NEW GOVERNMENT,1.0,ANZUS,1.0,AMD,3.0,Armys Civil Guard,1.0,BombiNc Pauses,1.0,ARTHUR J. GOLDBERG,1.0,Amembassy VIENTIANE 802,1.0,Baggs-Ashmore,1.0,B. State,1.0,Agence France Press,1.0
19,SEATO A,1.0,Pentagon,1.0,Annex,4.0,American ConsulGeneva TEDUL I75,1.0,Committee Print,1.0,Executive,1.0,CIA,1.0,AI BLANCK,1.0,Accords,13.0,CAS,1.0,CAS,1.0,Air Force Advisory Group,1.0,CONFIDENTIAL,2.0,AwOL,2.0,CG,4.0,CHRONOLOGY,2.0,CAPTTBED,1.0,BO-L,1.0,B. International Diplomatic Moves,2.0,Da Nang,1.0,Army Bde to Thailand,1.0,ARVN Corps Reserve,1.0,Additional Forces for SEA,1.0,Army of South Vietnam,1.0,Attacks on,1.0,Bombing North Vietnam,1.0,B. OCO,1.0,Brinks,1.0,Assembly,6.0,The Military Aid Program Statement,1.0,EISENHOWER ADMINISTRATION,1.0,Department of State,1.0,Chinas,1.0,Brazzaville,1.0,Admiral Fun,1.0,Air Force Operations,1.0,Allied,3.0,ARMY,1,ANY EVENT CATHOLIC COMMUNITY,1.0,ARBITRARY METHODS OF AUTHORITIES,1.0,AMD SECOND WHILE THEY CAN,1.0,Assembly,1.0,Brezhnev,1.0,ASAHI1,1.0,American Ambassridors,1.0,Blue Chip or Topic for Talks,1.0,B. The United States,1.0,Aide-Memoire,1.0
